x,y,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,year,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code
20.45,44.816666999999995,Production,"antimony, mine",,,1971-01-01 00:00:00,Yugoslavia,,A,YU,Antimony,Normal value,YUG,"Antimony (mine production, metal production)",tonnes (metal content),20.450000,Ores and concentrates (metal content),,44.816667,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,2002,,Mine production of antimony,821,2002,
-8.263145999999999,39.866841,Production,"antimony, mine",Nil (nothing produced),,1971-01-01 00:00:00,Portugal,,A,PT,Antimony,Normal Value,PRT,"Antimony (mine production, metal production)",tonnes (metal content),-8.263146,Ores and concentrates (metal content),,39.866841,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,0,,Mine production of antimony,821,-----,
14.4166,50.083332999999996,Production,"antimony, mine",,Estimates.,1971-01-01 00:00:00,Czechoslovakia,,A,CS,Antimony,Normal value,CSK,"Antimony (mine production, metal production)",tonnes (metal content),14.416600,Ores and concentrates (metal content),,50.083333,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,600,,Mine production of antimony,821,600,*
-64.684753,-16.706875999999998,Production,"antimony, mine",,Content of ore exported plus exports of metal.,1971-01-01 00:00:00,Bolivia,,A,BO,Antimony,Normal value,BOL,"Antimony (mine production, metal production)",tonnes (metal content),-64.684753,Ores and concentrates (metal content),,-16.706876,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,11672,,Mine production of antimony,821,11672,h
-101.933344,23.629557,Production,"antimony, mine",,Including Sb content of antimonial lead plus Sb content of ores for export.,1971-01-01 00:00:00,Mexico,,A,MX,Antimony,Normal value,MEX,"Antimony (mine production, metal production)",tonnes (metal content),-101.933344,Ores and concentrates (metal content),,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,3361,,Mine production of antimony,821,3361,a
96.111983,21.798486,Production,"antimony, mine",,,1971-01-01 00:00:00,Myanmar,,A,MM,Antimony,Normal value,MMR,"Antimony (mine production, metal production)",tonnes (metal content),96.111983,Ores and concentrates (metal content),,21.798486,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,128,,Mine production of antimony,821,128,
33.526313,39.351717,Production,"antimony, mine",,,1971-01-01 00:00:00,Turkey,,A,TR,Antimony,Normal value,TUR,"Antimony (mine production, metal production)",tonnes (metal content),33.526313,Ores and concentrates (metal content),,39.351717,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,2834,,Mine production of antimony,821,2834,
-119.677633,59.205383999999995,Production,"antimony, mine",,Includes Sb content of antimonial lead alloys.,1971-01-01 00:00:00,Canada,,A,CA,Antimony,Normal value,CAN,"Antimony (mine production, metal production)",tonnes (metal content),-119.677633,Ores and concentrates (metal content),,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,147,,Mine production of antimony,821,147,f
102.186548,4.029745,Production,"antimony, mine",,,1971-01-01 00:00:00,Malaysia,,A,MY,Antimony,Normal value,MYS,"Antimony (mine production, metal production)",tonnes (metal content),102.186548,Ores and concentrates (metal content),,4.029745,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,288,,Mine production of antimony,821,288,
82.51,55.51,Production,"antimony, mine",,Estimates.,1971-01-01 00:00:00,Soviet Union,,A,SU,Antimony,Normal value,SUN,"Antimony (mine production, metal production)",tonnes (metal content),82.510000,Ores and concentrates (metal content),,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,7500,,Mine production of antimony,821,7500,*
