x,y,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,year,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code
10.612941,45.366552,Production,ferro-alloys,,,Italy,Ferro-silico-manganese,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1971-01-01 00:00:00,45.366552,,74,27818,,Production of ferro-alloys,871,27818,
-69.73191899999999,-26.162882999999997,Production,ferro-alloys,,,Chile,Ferro-manganese,A,CL,,Normal value,CHL,,tonnes (metric),-69.731919,,,1971-01-01 00:00:00,-26.162883,,74,6318,,Production of ferro-alloys,863,6318,
142.796275,43.46076,Production,ferro-alloys,,,Japan,Ferro-silicon,A,JP,,Normal value,JPN,,tonnes (metric),142.796275,,,1971-01-01 00:00:00,43.460760,,74,322000,,Production of ferro-alloys,872,322000,
18.043765,65.542091,Production,ferro-alloys,,,Sweden,Silicon metal,A,SE,,Normal value,SWE,,tonnes (metric),18.043765,,,1971-01-01 00:00:00,65.542091,,74,13266,,Production of ferro-alloys,878,13266,
-101.933344,23.629557,Production,ferro-alloys,,,Mexico,Ferro-manganese,A,MX,,Normal value,MEX,,tonnes (metric),-101.933344,,,1971-01-01 00:00:00,23.629557,,74,54814,,Production of ferro-alloys,863,54814,
-69.73191899999999,-26.162882999999997,Production,ferro-alloys,,,Chile,Ferro-silicon,A,CL,,Normal value,CHL,,tonnes (metric),-69.731919,,,1971-01-01 00:00:00,-26.162883,,74,3298,,Production of ferro-alloys,872,3298,
10.612941,45.366552,Production,ferro-alloys,,,Italy,Ferro-titanium,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1971-01-01 00:00:00,45.366552,,74,673,,Production of ferro-alloys,1993,673,
-3.0,55.0,Production,ferro-alloys,,,United Kingdom,Ferro-manganese,A,GB,,Normal value,GBR,,tonnes (metric),-3.000000,,,1971-01-01 00:00:00,55.000000,,74,135000,,Production of ferro-alloys,863,135000,
18.043765,65.542091,Production,ferro-alloys,,,Sweden,Ferro-manganese,A,SE,,Normal value,SWE,,tonnes (metric),18.043765,,,1971-01-01 00:00:00,65.542091,,74,36850,,Production of ferro-alloys,863,36850,
18.043765,65.542091,Production,ferro-alloys,,,Sweden,Ferro-silicon,A,SE,,Normal value,SWE,,tonnes (metric),18.043765,,,1971-01-01 00:00:00,65.542091,,74,40892,,Production of ferro-alloys,872,40892,
-8.263145999999999,39.866841,Production,ferro-alloys,,,Portugal,Ferro-silicon,A,PT,,Normal value,PRT,,tonnes (metric),-8.263146,,,1971-01-01 00:00:00,39.866841,,74,6920,,Production of ferro-alloys,872,6920,
132.72135600000001,-23.137734,Production,ferro-alloys,,Years ended 30 November of that stated.,Australia,Ferro-chrome,A,AU,,Normal value,AUS,,tonnes (metric),132.721356,,,1971-01-01 00:00:00,-23.137734,,74,313,,Production of ferro-alloys,861,313,s
-101.933344,23.629557,Production,ferro-alloys,,,Mexico,Ferro-silico-manganese,A,MX,,Normal value,MEX,,tonnes (metric),-101.933344,,,1971-01-01 00:00:00,23.629557,,74,5991,,Production of ferro-alloys,871,5991,
142.796275,43.46076,Production,ferro-alloys,,,Japan,Ferro-nickel,A,JP,,Normal value,JPN,,tonnes (metric),142.796275,,,1971-01-01 00:00:00,43.460760,,74,286000,,Production of ferro-alloys,865,286000,
18.043765,65.542091,Production,ferro-alloys,,,Sweden,Ferro-vanadium,A,SE,,Normal value,SWE,,tonnes (metric),18.043765,,,1971-01-01 00:00:00,65.542091,,74,431,,Production of ferro-alloys,876,431,
18.043765,65.542091,Production,ferro-alloys,,,Sweden,Ferro-tungsten,A,SE,,Normal value,SWE,,tonnes (metric),18.043765,,,1971-01-01 00:00:00,65.542091,,74,513,,Production of ferro-alloys,875,513,
