x,y,country_trans,bgs_sub_commodity_trans,sdmx_code,yearbook_table_trans,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,yearbook_table_id,pole_of_inaccessibility_latitude,cgi_commodity_url,quantity,concat_table_notes_text,year,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text
16.971256999999998,-20.703654,Namibia,,A,Production of germanium metal,NA,Germanium,Normal value,NAM,Germanium metal,tonnes (metric),16.971257,,,162,-20.703654,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,5,,1971-01-01 00:00:00,882,5,*,Production,germanium metal,,Estimates.
-119.677633,59.205383999999995,Canada,,A,Production of germanium metal,CA,Germanium,Normal value,CAN,Germanium metal,tonnes (metric),-119.677633,,,162,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,5,,1971-01-01 00:00:00,882,5,,Production,germanium metal,,
23.625456999999997,-2.883451,Zaire,,A,Production of germanium metal,ZR,Germanium,Normal value,ZAR,Germanium metal,tonnes (metric),23.625457,,,162,-2.883451,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,53,,1971-01-01 00:00:00,882,53,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,12,,1971-01-01 00:00:00,882,12,*,Production,germanium metal,,Estimates.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,19,,1971-01-01 00:00:00,882,19,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,15,,1972-01-01 00:00:00,882,15,*,Production,germanium metal,,Estimates.
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,7,,1972-01-01 00:00:00,882,7,*,Production,germanium metal,,Estimates.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,22,,1972-01-01 00:00:00,882,22,,Production,germanium metal,,
23.625456999999997,-2.883451,Zaire,,A,Production of germanium metal,ZR,Germanium,Normal value,ZAR,Germanium metal,tonnes (metric),23.625457,,,162,-2.883451,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,23,,1972-01-01 00:00:00,882,23,,Production,germanium metal,,
16.971256999999998,-20.703654,Namibia,,A,Production of germanium metal,NA,Germanium,Normal value,NAM,Germanium metal,tonnes (metric),16.971257,,,162,-20.703654,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,5,,1972-01-01 00:00:00,882,5,*,Production,germanium metal,,Estimates.
