x,y,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,year,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation
14.130671999999999,47.585656,AUT,Graphite,tonnes (metric),14.130672,,,1971-01-01 00:00:00,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,21392,,Production of graphite,652,21392,a,Production,graphite,,Crude.,Austria,,A,AT,Graphite,Normal value
142.796275,43.46076,JPN,Graphite,tonnes (metric),142.796275,,,1971-01-01 00:00:00,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,1054,,Production of graphite,652,1054,d,Production,graphite,,Including flake graphite.,Japan,,A,JP,Graphite,Normal value
7.1000000000000005,50.733332999999995,DEU,Graphite,tonnes (metric),7.100000,,,1971-01-01 00:00:00,50.733333,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,12688,,Production of graphite,652,12688,,Production,graphite,,,German Federal Republic,,A,DE,Graphite,Normal value
-49.028009999999995,-12.408957,BRA,Graphite,tonnes (metric),-49.028010,,,1971-01-01 00:00:00,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,23709,,Production of graphite,652,23709,,Production,graphite,,,Brazil,,A,BR,Graphite,Normal value
-101.933344,23.629557,MEX,Graphite,tonnes (metric),-101.933344,,,1971-01-01 00:00:00,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,50916,,Production of graphite,652,50916,,Production,graphite,,,Mexico,,A,MX,Graphite,Normal value
82.51,55.51,SUN,Graphite,tonnes (metric),82.510000,,,1971-01-01 00:00:00,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,80000,,Production of graphite,652,80000,*,Production,graphite,,Estimates.,Soviet Union,,A,SU,Graphite,Normal value
10.262436,61.687073999999996,NOR,Graphite,tonnes (metric),10.262436,,,1971-01-01 00:00:00,61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,8288,,Production of graphite,652,8288,,Production,graphite,,,Norway,,A,NO,Graphite,Normal value
24.972941,45.853463999999995,ROU,Graphite,tonnes (metric),24.972941,,,1971-01-01 00:00:00,45.853464,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,6000,,Production of graphite,652,6000,*,Production,graphite,,Estimates.,Romania,,A,RO,Graphite,Normal value
-64.247496,-31.841561,ARG,Graphite,tonnes (metric),-64.247496,,,1971-01-01 00:00:00,-31.841561,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,147,,Production of graphite,652,147,,Production,graphite,,,Argentina,,A,AR,Graphite,Normal value
46.863413,-18.771091,MDG,Graphite,tonnes (metric),46.863413,,,1971-01-01 00:00:00,-18.771091,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,20025,,Production of graphite,652,20025,d,Production,graphite,,Including flake graphite.,Madagascar,,A,MG,Graphite,Normal value
