x,y,country_iso3_code,erml_group,sdmx_translation,pole_of_inaccessibility_longitude,erml_commodity,units,year,pole_of_inaccessibility_latitude,erml_sub_commodity,concat_table_notes_code,yearbook_table_id,cgi_commodity_url,quantity,yearbook_table_trans,bgs_commodity_code,concat_table_notes_text,bgs_statistic_type_trans,bgs_commodity_trans,quantity_in_book_style,concat_figure_notes_code,country_trans,bgs_sub_commodity_trans,data_precision_description,concat_figure_notes_text,country_iso2_code,sdmx_code
16.971256999999998,-20.703654,NAM,Lithium,Normal value,16.971257,Lithium minerals,tonnes (metric),1974-01-01 00:00:00,-20.703654,,,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,37762,Production of lithium minerals,892,,Production,lithium minerals,37762,,Namibia,,,,NA,A
-49.028009999999995,-12.408957,BRA,,Normal value,-49.028010,,tonnes (metric),1974-01-01 00:00:00,-12.408957,,,84,,3569,Production of lithium minerals,895,,Production,lithium minerals,3569,,Brazil,Petalite,,,BR,A
-49.028009999999995,-12.408957,BRA,Lithium,Normal value,-49.028010,Lithium minerals,tonnes (metric),1974-01-01 00:00:00,-12.408957,Spodumene,,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,1200,Production of lithium minerals,896,,Production,lithium minerals,1200,,Brazil,Spodumene,,,BR,A
-97.834383,39.139831,USA,Lithium,Normal value,-97.834383,Lithium minerals,tonnes (metric),1974-01-01 00:00:00,39.139831,,,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,3500,Production of lithium minerals,892,,Production,lithium minerals,3500,*|a|b,USA,,,Estimates.|Li content.|Mostly spodumene.,US,A
29.851884,-19.002536,,Lithium,Normal value,,Lithium minerals,tonnes (metric),1974-01-01 00:00:00,,,,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,3600,Production of lithium minerals,892,,Production,lithium minerals,3600,*,Rhodesia,,,Estimates.,,A
-49.028009999999995,-12.408957,BRA,,Normal value,-49.028010,,tonnes (metric),1974-01-01 00:00:00,-12.408957,,,84,,171,Production of lithium minerals,893,,Production,lithium minerals,171,,Brazil,Amblygonite,,,BR,A
-8.263145999999999,39.866841,PRT,Lithium,Normal value,-8.263146,Lithium minerals,tonnes (metric),1974-01-01 00:00:00,39.866841,Lepidolite,,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,1200,Production of lithium minerals,894,,Production,lithium minerals,1200,,Portugal,Lepidolite,,,PT,A
-49.028009999999995,-12.408957,BRA,Lithium,Normal value,-49.028010,Lithium minerals,tonnes (metric),1974-01-01 00:00:00,-12.408957,Lepidolite,,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,460,Production of lithium minerals,894,,Production,lithium minerals,460,,Brazil,Lepidolite,,,BR,A
29.741315,-1.942774,RWA,,Normal value,29.741315,,tonnes (metric),1974-01-01 00:00:00,-1.942774,,,84,,30,Production of lithium minerals,893,,Production,lithium minerals,30,*,Rwanda,Amblygonite,,Estimates.,RW,A
82.51,55.51,SUN,Lithium,Normal value,82.510000,Lithium minerals,tonnes (metric),1974-01-01 00:00:00,55.510000,,,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,45000,Production of lithium minerals,892,,Production,lithium minerals,45000,*,Soviet Union,,,Estimates.,SU,A
-64.247496,-31.841561,ARG,Lithium,Normal value,-64.247496,Lithium minerals,tonnes (metric),1974-01-01 00:00:00,-31.841561,,,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,164,Production of lithium minerals,892,,Production,lithium minerals,164,,Argentina,,,,AR,A
109.537431,32.216659,CHN,Lithium,Normal value,109.537431,Lithium minerals,tonnes (metric),1974-01-01 00:00:00,32.216659,,,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,9000,Production of lithium minerals,892,,Production,lithium minerals,9000,*,China,,,Estimates.,CN,A
109.537431,32.216659,CHN,Lithium,Normal value,109.537431,Lithium minerals,tonnes (metric),1975-01-01 00:00:00,32.216659,,,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,9000,Production of lithium minerals,892,,Production,lithium minerals,9000,*,China,,,Estimates.,CN,A
82.51,55.51,SUN,Lithium,Normal value,82.510000,Lithium minerals,tonnes (metric),1975-01-01 00:00:00,55.510000,,,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,45000,Production of lithium minerals,892,,Production,lithium minerals,45000,*,Soviet Union,,,Estimates.,SU,A
-64.247496,-31.841561,ARG,Lithium,Normal value,-64.247496,Lithium minerals,tonnes (metric),1975-01-01 00:00:00,-31.841561,,,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,487,Production of lithium minerals,892,,Production,lithium minerals,487,,Argentina,,,,AR,A
29.851884,-19.002536,,Lithium,Normal value,,Lithium minerals,tonnes (metric),1975-01-01 00:00:00,,,,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,883,Production of lithium minerals,892,,Production,lithium minerals,883,,Rhodesia,,,,,A
-49.028009999999995,-12.408957,BRA,,Normal value,-49.028010,,tonnes (metric),1975-01-01 00:00:00,-12.408957,,,84,,156,Production of lithium minerals,893,,Production,lithium minerals,156,,Brazil,Amblygonite,,,BR,A
16.971256999999998,-20.703654,NAM,Lithium,Normal value,16.971257,Lithium minerals,tonnes (metric),1975-01-01 00:00:00,-20.703654,,,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,51373,Production of lithium minerals,892,,Production,lithium minerals,51373,,Namibia,,,,NA,A
-49.028009999999995,-12.408957,BRA,,Normal value,-49.028010,,tonnes (metric),1975-01-01 00:00:00,-12.408957,,,84,,3697,Production of lithium minerals,895,,Production,lithium minerals,3697,,Brazil,Petalite,,,BR,A
