x,y,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,year,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,yearbook_table_id,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_trans,quantity,concat_table_notes_text,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code
82.51,55.51,Production,"magnesium metal, primary",,Estimates.,Soviet Union,,A,SU,Magnesium,Normal value,SUN,"Magnesium, primary metal",tonnes (metric),1974-01-01 00:00:00,82.510000,,,163,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,60000,,923,60000,*
109.537431,32.216659,Production,"magnesium metal, primary",,Estimates.,China,,A,CN,Magnesium,Normal value,CHN,"Magnesium, primary metal",tonnes (metric),1974-01-01 00:00:00,109.537431,,,163,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,1000,,923,1000,*
10.262436,61.687073999999996,Production,"magnesium metal, primary",,,Norway,,A,NO,Magnesium,Normal value,NOR,"Magnesium, primary metal",tonnes (metric),1974-01-01 00:00:00,10.262436,,,163,61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,39795,,923,39795,
10.612941,45.366552,Production,"magnesium metal, primary",,,Italy,,A,IT,Magnesium,Normal value,ITA,"Magnesium, primary metal",tonnes (metric),1974-01-01 00:00:00,10.612941,,,163,45.366552,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,7431,,923,7431,
2.452177,46.620563,Production,"magnesium metal, primary",,,France,,A,FR,Magnesium,Normal value,FRA,"Magnesium, primary metal",tonnes (metric),1974-01-01 00:00:00,2.452177,,,163,46.620563,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,6939,,923,6939,
-119.677633,59.205383999999995,Production,"magnesium metal, primary",,,Canada,,A,CA,Magnesium,Normal value,CAN,"Magnesium, primary metal",tonnes (metric),1974-01-01 00:00:00,-119.677633,,,163,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,5956,,923,5956,
20.45,44.816666999999995,Production,"magnesium metal, primary",Nil (nothing produced),,Yugoslavia,,A,YU,Magnesium,Normal Value,YUG,"Magnesium, primary metal",tonnes (metric),1974-01-01 00:00:00,20.450000,,,163,44.816667,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,0,,923,-----,
-97.834383,39.139831,Production,"magnesium metal, primary",,Estimates.,USA,,A,US,Magnesium,Normal value,USA,"Magnesium, primary metal",tonnes (metric),1974-01-01 00:00:00,-97.834383,,,163,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,123000,,923,123000,*
79.282538,22.642556,Production,"magnesium metal, primary",Nil (nothing produced),,India,,A,IN,Magnesium,Normal Value,IND,"Magnesium, primary metal",tonnes (metric),1974-01-01 00:00:00,79.282538,,,163,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,0,,923,-----,
142.796275,43.46076,Production,"magnesium metal, primary",,,Japan,,A,JP,Magnesium,Normal value,JPN,"Magnesium, primary metal",tonnes (metric),1974-01-01 00:00:00,142.796275,,,163,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,8659,,923,8659,
142.796275,43.46076,Production,"magnesium metal, primary",,,Japan,,A,JP,Magnesium,Normal value,JPN,"Magnesium, primary metal",tonnes (metric),1975-01-01 00:00:00,142.796275,,,163,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,8700,,923,8700,
79.282538,22.642556,Production,"magnesium metal, primary",Nil (nothing produced),,India,,A,IN,Magnesium,Normal Value,IND,"Magnesium, primary metal",tonnes (metric),1975-01-01 00:00:00,79.282538,,,163,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,0,,923,-----,
2.452177,46.620563,Production,"magnesium metal, primary",,,France,,A,FR,Magnesium,Normal value,FRA,"Magnesium, primary metal",tonnes (metric),1975-01-01 00:00:00,2.452177,,,163,46.620563,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,7532,,923,7532,
82.51,55.51,Production,"magnesium metal, primary",,Estimates.,Soviet Union,,A,SU,Magnesium,Normal value,SUN,"Magnesium, primary metal",tonnes (metric),1975-01-01 00:00:00,82.510000,,,163,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,60000,,923,60000,*
109.537431,32.216659,Production,"magnesium metal, primary",,Estimates.,China,,A,CN,Magnesium,Normal value,CHN,"Magnesium, primary metal",tonnes (metric),1975-01-01 00:00:00,109.537431,,,163,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,1000,,923,1000,*
10.612941,45.366552,Production,"magnesium metal, primary",,,Italy,,A,IT,Magnesium,Normal value,ITA,"Magnesium, primary metal",tonnes (metric),1975-01-01 00:00:00,10.612941,,,163,45.366552,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,6344,,923,6344,
10.262436,61.687073999999996,Production,"magnesium metal, primary",,,Norway,,A,NO,Magnesium,Normal value,NOR,"Magnesium, primary metal",tonnes (metric),1975-01-01 00:00:00,10.262436,,,163,61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,38337,,923,38337,
-97.834383,39.139831,Production,"magnesium metal, primary",,Estimates.,USA,,A,US,Magnesium,Normal value,USA,"Magnesium, primary metal",tonnes (metric),1975-01-01 00:00:00,-97.834383,,,163,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,109000,,923,109000,*
-119.677633,59.205383999999995,Production,"magnesium metal, primary",,,Canada,,A,CA,Magnesium,Normal value,CAN,"Magnesium, primary metal",tonnes (metric),1975-01-01 00:00:00,-119.677633,,,163,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,3826,,923,3826,
20.45,44.816666999999995,Production,"magnesium metal, primary",Nil (nothing produced),,Yugoslavia,,A,YU,Magnesium,Normal Value,YUG,"Magnesium, primary metal",tonnes (metric),1975-01-01 00:00:00,20.450000,,,163,44.816667,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,0,,923,-----,
-119.677633,59.205383999999995,Production,"magnesium metal, primary",,,Canada,,A,CA,Magnesium,Normal value,CAN,"Magnesium, primary metal",tonnes (metric),1976-01-01 00:00:00,-119.677633,,,163,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,6092,,923,6092,
20.45,44.816666999999995,Production,"magnesium metal, primary",Nil (nothing produced),,Yugoslavia,,A,YU,Magnesium,Normal Value,YUG,"Magnesium, primary metal",tonnes (metric),1976-01-01 00:00:00,20.450000,,,163,44.816667,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,0,,923,-----,
-97.834383,39.139831,Production,"magnesium metal, primary",,,USA,,A,US,Magnesium,Normal value,USA,"Magnesium, primary metal",tonnes (metric),1976-01-01 00:00:00,-97.834383,,,163,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,108823,,923,108823,
79.282538,22.642556,Production,"magnesium metal, primary",,,India,,A,IN,Magnesium,Normal value,IND,"Magnesium, primary metal",tonnes (metric),1976-01-01 00:00:00,79.282538,,,163,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,30,,923,30,
142.796275,43.46076,Production,"magnesium metal, primary",,,Japan,,A,JP,Magnesium,Normal value,JPN,"Magnesium, primary metal",tonnes (metric),1976-01-01 00:00:00,142.796275,,,163,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,11200,,923,11200,
82.51,55.51,Production,"magnesium metal, primary",,Estimates.,Soviet Union,,A,SU,Magnesium,Normal value,SUN,"Magnesium, primary metal",tonnes (metric),1976-01-01 00:00:00,82.510000,,,163,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,63000,,923,63000,*
2.452177,46.620563,Production,"magnesium metal, primary",,,France,,A,FR,Magnesium,Normal value,FRA,"Magnesium, primary metal",tonnes (metric),1976-01-01 00:00:00,2.452177,,,163,46.620563,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,8035,,923,8035,
10.612941,45.366552,Production,"magnesium metal, primary",,,Italy,,A,IT,Magnesium,Normal value,ITA,"Magnesium, primary metal",tonnes (metric),1976-01-01 00:00:00,10.612941,,,163,45.366552,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,7033,,923,7033,
109.537431,32.216659,Production,"magnesium metal, primary",,Estimates.,China,,A,CN,Magnesium,Normal value,CHN,"Magnesium, primary metal",tonnes (metric),1976-01-01 00:00:00,109.537431,,,163,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,5000,,923,5000,*
10.262436,61.687073999999996,Production,"magnesium metal, primary",,,Norway,,A,NO,Magnesium,Normal value,NOR,"Magnesium, primary metal",tonnes (metric),1976-01-01 00:00:00,10.262436,,,163,61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,38808,,923,38808,
10.262436,61.687073999999996,Production,"magnesium metal, primary",,,Norway,,A,NO,Magnesium,Normal value,NOR,"Magnesium, primary metal",tonnes (metric),1977-01-01 00:00:00,10.262436,,,163,61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,38165,,923,38165,
109.537431,32.216659,Production,"magnesium metal, primary",,Estimates.,China,,A,CN,Magnesium,Normal value,CHN,"Magnesium, primary metal",tonnes (metric),1977-01-01 00:00:00,109.537431,,,163,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,5000,,923,5000,*
10.612941,45.366552,Production,"magnesium metal, primary",,,Italy,,A,IT,Magnesium,Normal value,ITA,"Magnesium, primary metal",tonnes (metric),1977-01-01 00:00:00,10.612941,,,163,45.366552,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,8766,,923,8766,
82.51,55.51,Production,"magnesium metal, primary",,Estimates.,Soviet Union,,A,SU,Magnesium,Normal value,SUN,"Magnesium, primary metal",tonnes (metric),1977-01-01 00:00:00,82.510000,,,163,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,65000,,923,65000,*
