x,y,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,year,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code
29.851983999999998,16.724177,Production,manganese ore,,Estimates.,1971-01-01 00:00:00,Sudan,,A,SD,Manganese,Normal value,SDN,Manganese ore (gross weight),tonnes (metric),29.851984,Ores and concentrates (gross weight),,16.724177,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,1200,,Production of manganese ore,898,1200,*
-49.028009999999995,-12.408957,Production,manganese ore,,,1971-01-01 00:00:00,Brazil,,A,BR,Manganese,Normal value,BRA,Manganese ore (gross weight),tonnes (metric),-49.028010,Ores and concentrates (gross weight),,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,2872504,,Production of manganese ore,898,2872504,
-101.933344,23.629557,Production,manganese ore,,,1971-01-01 00:00:00,Mexico,,A,MX,Manganese,Normal value,MEX,Manganese ore (gross weight),tonnes (metric),-101.933344,Ores and concentrates (gross weight),,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,266900,,Production of manganese ore,898,266900,
102.186548,4.029745,Production,manganese ore,,Manganiferous iron ore.,1971-01-01 00:00:00,Malaysia,,A,MY,Manganese,Normal value,MYS,Manganese ore (gross weight),tonnes (metric),102.186548,Ores and concentrates (gross weight),,4.029745,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,23380,,Production of manganese ore,898,23380,i
17.830424,-11.936504999999999,Production,manganese ore,,,1971-01-01 00:00:00,Angola,,A,AO,Manganese,Normal value,AGO,Manganese ore (gross weight),tonnes (metric),17.830424,Ores and concentrates (gross weight),,-11.936505,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,28000,,Production of manganese ore,898,28000,
100.982474,15.485660999999999,Production,manganese ore,,,1971-01-01 00:00:00,Thailand,,A,TH,Manganese,Normal value,THA,Manganese ore (gross weight),tonnes (metric),100.982474,Ores and concentrates (gross weight),,15.485661,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,15332,,Production of manganese ore,898,15332,
-64.247496,-31.841561,Production,manganese ore,,,1971-01-01 00:00:00,Argentina,,A,AR,Manganese,Normal value,ARG,Manganese ore (gross weight),tonnes (metric),-64.247496,Ores and concentrates (gross weight),,-31.841561,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,13772,,Production of manganese ore,898,13772,
-8.263145999999999,39.866841,Production,manganese ore,,,1971-01-01 00:00:00,Portugal,,A,PT,Manganese,Normal value,PRT,Manganese ore (gross weight),tonnes (metric),-8.263146,Ores and concentrates (gross weight),,39.866841,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,4734,,Production of manganese ore,898,4734,
23.840187999999998,42.733269,Production,manganese ore,,,1971-01-01 00:00:00,Bulgaria,,A,BG,Manganese,Normal value,BGR,Manganese ore (gross weight),tonnes (metric),23.840188,Ores and concentrates (gross weight),,42.733269,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,41000,,Production of manganese ore,898,41000,
121.417908,17.522436,Production,manganese ore,,,1971-01-01 00:00:00,Philippines,,A,PH,Manganese,Normal value,PHL,Manganese ore (gross weight),tonnes (metric),121.417908,Ores and concentrates (gross weight),,17.522436,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,5133,,Production of manganese ore,898,5133,
128.0,36.0,Production,manganese ore,,,1971-01-01 00:00:00,Korea (Rep. of),,A,KR,Manganese,Normal value,KOR,Manganese ore (gross weight),tonnes (metric),128.000000,Ores and concentrates (gross weight),,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,2134,,Production of manganese ore,898,2134,
132.72135600000001,-23.137734,Production,manganese ore,,,1971-01-01 00:00:00,Australia,,A,AU,Manganese,Normal value,AUS,Manganese ore (gross weight),tonnes (metric),132.721356,Ores and concentrates (gross weight),,-23.137734,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,1050537,,Production of manganese ore,898,1050537,
-1.03727,6.962365999999999,Production,manganese ore,,,1971-01-01 00:00:00,Ghana,,A,GH,Manganese,Normal value,GHA,Manganese ore (gross weight),tonnes (metric),-1.037270,Ores and concentrates (gross weight),,6.962366,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,466570,,Production of manganese ore,898,466570,
24.972941,45.853463999999995,Production,manganese ore,,Estimates.,1971-01-01 00:00:00,Romania,,A,RO,Manganese,Normal value,ROU,Manganese ore (gross weight),tonnes (metric),24.972941,Ores and concentrates (gross weight),,45.853464,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,127000,,Production of manganese ore,898,127000,*
79.282538,22.642556,Production,manganese ore,,Including ore grading 54% to less than 35% Mn.,1971-01-01 00:00:00,India,,A,IN,Manganese,Normal value,IND,Manganese ore (gross weight),tonnes (metric),79.282538,Ores and concentrates (gross weight),,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,1840523,,Production of manganese ore,898,1840523,c
-3.562909,40.389544,Production,manganese ore,,,1971-01-01 00:00:00,Spain,,A,ES,Manganese,Normal value,ESP,Manganese ore (gross weight),tonnes (metric),-3.562909,Ores and concentrates (gross weight),,40.389544,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,18079,,Production of manganese ore,898,18079,
-73.03382599999999,-13.197341,Production,manganese ore,,,1971-01-01 00:00:00,Peru,,A,PE,Manganese,Normal value,PER,Manganese ore (gross weight),tonnes (metric),-73.033826,Ores and concentrates (gross weight),,-13.197341,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,9753,,Production of manganese ore,898,9753,
55.508706,31.955713,Production,manganese ore,,Years ended 20 March following that stated.,1971-01-01 00:00:00,Iran,,A,IR,Manganese,Normal value,IRN,Manganese ore (gross weight),tonnes (metric),55.508706,Ores and concentrates (gross weight),,31.955713,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,12300,,Production of manganese ore,898,12300,d
