x,y,country_iso3_code,erml_group,sdmx_translation,pole_of_inaccessibility_longitude,erml_commodity,units,year,pole_of_inaccessibility_latitude,erml_sub_commodity,concat_table_notes_code,yearbook_table_id,cgi_commodity_url,quantity,yearbook_table_trans,bgs_commodity_code,concat_table_notes_text,bgs_statistic_type_trans,bgs_commodity_trans,quantity_in_book_style,concat_figure_notes_code,country_trans,bgs_sub_commodity_trans,data_precision_description,concat_figure_notes_text,country_iso2_code,sdmx_code
114.218582,-0.9663149999999999,IDN,Nickel,Normal value,114.218582,"Nickel (mine production, metal content)",tonnes (metal content),1971-01-01 00:00:00,-0.966315,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,12000,Mine production of nickel,19951,,Production,"nickel, mine",12000,,Indonesia,,,,ID,A
-49.028009999999995,-12.408957,BRA,Nickel,Normal value,-49.028010,"Nickel (mine production, metal content)",tonnes (metal content),1971-01-01 00:00:00,-12.408957,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,3271,Mine production of nickel,19951,,Production,"nickel, mine",3271,,Brazil,,,,BR,A
-6.587161,31.846552,MAR,Nickel,Normal value,-6.587161,"Nickel (mine production, metal content)",tonnes (metal content),1971-01-01 00:00:00,31.846552,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,200,Mine production of nickel,19951,,Production,"nickel, mine",200,*,Morocco,,,Estimates.,MA,A
-119.677633,59.205383999999995,CAN,Nickel,Normal value,-119.677633,"Nickel (mine production, metal content)",tonnes (metal content),1971-01-01 00:00:00,59.205384,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,267023,Mine production of nickel,19951,,Production,"nickel, mine",267023,g,Canada,,,Refined nickel and nickel in oxide and salts plus nickel in matte and concentrate exported.,CA,A
23.214465999999998,-30.457874999999998,ZAF,Nickel,Normal value,23.214466,"Nickel (mine production, metal content)",tonnes (metal content),1971-01-01 00:00:00,-30.457875,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,12757,Mine production of nickel,19951,,Production,"nickel, mine",12757,c,South Africa,,,Refined nickel and nickel in matte.,ZA,A
82.51,55.51,SUN,Nickel,Normal value,82.510000,"Nickel (mine production, metal content)",tonnes (metal content),1971-01-01 00:00:00,55.510000,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,110000,Mine production of nickel,19951,,Production,"nickel, mine",110000,*,Soviet Union,,,Estimates.,SU,A
-97.834383,39.139831,USA,Nickel,Normal value,-97.834383,"Nickel (mine production, metal content)",tonnes (metal content),1971-01-01 00:00:00,39.139831,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,15455,Mine production of nickel,19951,,Production,"nickel, mine",15455,j,USA,,,Shipments.,US,A
164.564138,-20.661227999999998,NCL,Nickel,Normal value,164.564138,"Nickel (mine production, metal content)",tonnes (metal content),1971-01-01 00:00:00,-20.661228,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,150900,Mine production of nickel,19951,,Production,"nickel, mine",150900,s,New Caledonia,,,Nickel content of refinery products.,NC,A
23.963964999999998,-21.767426,BWA,Nickel,Normal Value,23.963965,"Nickel (mine production, metal content)",tonnes (metal content),1971-01-01 00:00:00,-21.767426,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,0,Mine production of nickel,19951,,Production,"nickel, mine",-----,,Botswana,,Nil (nothing produced),,BW,A
27.679723,63.018750999999995,FIN,Nickel,Normal value,27.679723,"Nickel (mine production, metal content)",tonnes (metal content),1971-01-01 00:00:00,63.018751,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,3723,Mine production of nickel,19951,,Production,"nickel, mine",3723,,Finland,,,,FI,A
