x,y,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,year,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code
27.679723,63.018750999999995,Production,"platinum group metals, mine",,Estimates.|Recovered from copper refining.,1971-01-01 00:00:00,Finland,,A,FI,,Normal value,FIN,,kilograms (metal content),27.679723,,,63.018751,http://resource.geosciml.org/classifier/cgi/commodity-code/platinum-group,113,19,,Mine production of platinum group metals,746,19,*|j
121.417908,17.522436,Production,"platinum group metals, mine",,,1971-01-01 00:00:00,Philippines,Palladium,A,PH,Platinum group metals,Normal value,PHL,"Platinum group metals (mine production, metal content)",kilograms (metal content),121.417908,Ores and concentrates (Palladium content),,17.522436,http://resource.geosciml.org/classifier/cgi/commodity-code/palladium,113,55,,Mine production of platinum group metals,743,55,
142.796275,43.46076,Production,"platinum group metals, mine",,,1971-01-01 00:00:00,Japan,Palladium,A,JP,Platinum group metals,Normal value,JPN,"Platinum group metals (mine production, metal content)",kilograms (metal content),142.796275,Ores and concentrates (Palladium content),,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/palladium,113,167,,Mine production of platinum group metals,743,167,
121.417908,17.522436,Production,"platinum group metals, mine",,,1971-01-01 00:00:00,Philippines,Platinum,A,PH,Platinum group metals,Normal value,PHL,"Platinum group metals (mine production, metal content)",kilograms (metal content),121.417908,Ores and concentates (Platinum content),,17.522436,http://resource.geosciml.org/classifier/cgi/commodity-code/platinum,113,22,,Mine production of platinum group metals,744,22,
-97.834383,39.139831,Production,"platinum group metals, mine",,"Recovered by refineries from domestic platinum, gold and copper ores.",1971-01-01 00:00:00,USA,Iridium,A,US,,Normal value,USA,,kilograms (metal content),-97.834383,,,39.139831,,113,15,,Mine production of platinum group metals,2055,15,i
142.796275,43.46076,Production,"platinum group metals, mine",,,1971-01-01 00:00:00,Japan,Platinum,A,JP,Platinum group metals,Normal value,JPN,"Platinum group metals (mine production, metal content)",kilograms (metal content),142.796275,Ores and concentates (Platinum content),,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/platinum,113,107,,Mine production of platinum group metals,744,107,
-119.677633,59.205383999999995,Production,"platinum group metals, mine",,"Platinum metals content of concentrates (produced from Ni-Cu ores), residues and matte exported.",1971-01-01 00:00:00,Canada,,A,CA,,Normal value,CAN,,kilograms (metal content),-119.677633,,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/platinum-group,113,14779,,Mine production of platinum group metals,746,14779,f
-97.834383,39.139831,Production,"platinum group metals, mine",,"Recovered by refineries from domestic platinum, gold and copper ores.",1971-01-01 00:00:00,USA,Osmium,A,US,,Normal value,USA,,kilograms (metal content),-97.834383,,,39.139831,,113,5,,Mine production of platinum group metals,2057,5,i
23.214465999999998,-30.457874999999998,Production,"platinum group metals, mine",,Estimates.|From gold ores.|Sales.,1971-01-01 00:00:00,South Africa,Osmiridium,A,ZA,,Normal value,ZAF,,kilograms (metal content),23.214466,,,-30.457875,,113,99,,Mine production of platinum group metals,2056,99,*|h|k
82.51,55.51,Production,"platinum group metals, mine",,Estimates.,1971-01-01 00:00:00,Soviet Union,Platinum,A,SU,Platinum group metals,Normal value,SUN,"Platinum group metals (mine production, metal content)",kilograms (metal content),82.510000,Ores and concentates (Platinum content),,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/platinum,113,71500,,Mine production of platinum group metals,744,71500,*
-97.834383,39.139831,Production,"platinum group metals, mine",,"Recovered by refineries from domestic platinum, gold and copper ores.",1971-01-01 00:00:00,USA,Palladium,A,US,Platinum group metals,Normal value,USA,"Platinum group metals (mine production, metal content)",kilograms (metal content),-97.834383,Ores and concentrates (Palladium content),,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/palladium,113,318,,Mine production of platinum group metals,743,318,i
132.72135600000001,-23.137734,Production,"platinum group metals, mine",Nil (nothing produced),,1971-01-01 00:00:00,Australia,Platinum,A,AU,Platinum group metals,Normal Value,AUS,"Platinum group metals (mine production, metal content)",kilograms (metal content),132.721356,Ores and concentates (Platinum content),,-23.137734,http://resource.geosciml.org/classifier/cgi/commodity-code/platinum,113,0,,Mine production of platinum group metals,744,-----,
-97.834383,39.139831,Production,"platinum group metals, mine",,"Recovered by refineries from domestic platinum, gold and copper ores.",1971-01-01 00:00:00,USA,Rhodium,A,US,,Normal value,USA,,kilograms (metal content),-97.834383,,,39.139831,,113,3,,Mine production of platinum group metals,1021,3,i
-97.834383,39.139831,Production,"platinum group metals, mine",,"Recovered by refineries from domestic platinum, gold and copper ores.",1971-01-01 00:00:00,USA,Platinum,A,US,Platinum group metals,Normal value,USA,"Platinum group metals (mine production, metal content)",kilograms (metal content),-97.834383,Ores and concentates (Platinum content),,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/platinum,113,317,,Mine production of platinum group metals,744,317,i
23.214465999999998,-30.457874999999998,Production,"platinum group metals, mine",,Estimates.,1971-01-01 00:00:00,South Africa,Platinum,A,ZA,Platinum group metals,Normal value,ZAF,"Platinum group metals (mine production, metal content)",kilograms (metal content),23.214466,Ores and concentates (Platinum content),,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/platinum,113,38900,,Mine production of platinum group metals,744,38900,*
132.72135600000001,-23.137734,Production,"platinum group metals, mine",Nil (nothing produced),,1971-01-01 00:00:00,Australia,Palladium,A,AU,Platinum group metals,Normal Value,AUS,"Platinum group metals (mine production, metal content)",kilograms (metal content),132.721356,Ores and concentrates (Palladium content),,-23.137734,http://resource.geosciml.org/classifier/cgi/commodity-code/palladium,113,0,,Mine production of platinum group metals,743,-----,
38.369268,8.782801,Production,"platinum group metals, mine",,,1971-01-01 00:00:00,Ethiopia,Platinum,A,ET,Platinum group metals,Normal value,ETH,"Platinum group metals (mine production, metal content)",kilograms (metal content),38.369268,Ores and concentates (Platinum content),,8.782801,http://resource.geosciml.org/classifier/cgi/commodity-code/platinum,113,6,,Mine production of platinum group metals,744,6,
