mineral,stage,hs_code_queried,hs_description,period,reporterCode,reporterISO,reporterDesc,partnerCode,partnerISO,partnerDesc,flowCode,flowDesc,cmdCode,cmdDesc,primaryValue,netWgt,grossWgt,qty,qtyUnitAbbr,cifvalue,fobvalue
nickel,primary,260400,Nickel ores and concentrates,2000,8,ALB,Albania,0,W00,World,M,Import,260400,Nickel ores and concentrates,482.0,1000.0,,1000.0,kg,482.0,
nickel,primary,260400,Nickel ores and concentrates,2000,8,ALB,Albania,792,TUR,Türkiye,M,Import,260400,Nickel ores and concentrates,482.0,1000.0,,1000.0,kg,482.0,
nickel,primary,260400,Nickel ores and concentrates,2000,12,DZA,Algeria,0,W00,World,M,Import,260400,Nickel ores and concentrates,392.0,1810.0,,1810.0,kg,392.0,
nickel,primary,260400,Nickel ores and concentrates,2000,12,DZA,Algeria,724,ESP,Spain,M,Import,260400,Nickel ores and concentrates,392.0,1810.0,,1810.0,kg,392.0,
nickel,primary,260400,Nickel ores and concentrates,2000,36,AUS,Australia,0,W00,World,M,Import,260400,Nickel ores and concentrates,1689.0,1159.0,,1159.0,kg,,1689.0
nickel,primary,260400,Nickel ores and concentrates,2000,36,AUS,Australia,124,CAN,Canada,M,Import,260400,Nickel ores and concentrates,1046.0,2.0,,2.0,kg,,1046.0
nickel,primary,260400,Nickel ores and concentrates,2000,36,AUS,Australia,192,CUB,Cuba,M,Import,260400,Nickel ores and concentrates,184.0,1153.0,,1153.0,kg,,184.0
nickel,primary,260400,Nickel ores and concentrates,2000,36,AUS,Australia,842,USA,USA,M,Import,260400,Nickel ores and concentrates,459.0,4.0,,4.0,kg,,459.0
nickel,primary,260400,Nickel ores and concentrates,2000,40,AUT,Austria,0,W00,World,M,Import,260400,Nickel ores and concentrates,335.0,,,,N/A,335.0,
nickel,primary,260400,Nickel ores and concentrates,2000,40,AUT,Austria,276,DEU,Germany,M,Import,260400,Nickel ores and concentrates,335.0,,,,N/A,335.0,
nickel,primary,260400,Nickel ores and concentrates,2000,56,BEL,Belgium,0,W00,World,M,Import,260400,Nickel ores and concentrates,51980.0,4940.0,,4940.0,kg,51980.0,
nickel,primary,260400,Nickel ores and concentrates,2000,56,BEL,Belgium,251,FRA,France,M,Import,260400,Nickel ores and concentrates,51980.0,4940.0,,4940.0,kg,51980.0,
nickel,primary,260400,Nickel ores and concentrates,2000,72,BWA,Botswana,0,W00,World,M,Import,260400,Nickel ores and concentrates,22317481.0,22531116.0,,22531116.0,kg,22317481.0,
nickel,primary,260400,Nickel ores and concentrates,2000,72,BWA,Botswana,710,ZAF,South Africa,M,Import,260400,Nickel ores and concentrates,22317481.0,22531116.0,,22531116.0,kg,22317481.0,
nickel,primary,260400,Nickel ores and concentrates,2000,76,BRA,Brazil,0,W00,World,M,Import,260400,Nickel ores and concentrates,354.0,,0.0,0.0,N/A,354.0,316.0
nickel,primary,260400,Nickel ores and concentrates,2000,76,BRA,Brazil,380,ITA,Italy,M,Import,260400,Nickel ores and concentrates,176.0,4.0,0.0,4.0,kg,176.0,146.0
nickel,primary,260400,Nickel ores and concentrates,2000,76,BRA,Brazil,842,USA,USA,M,Import,260400,Nickel ores and concentrates,178.0,,0.0,0.0,N/A,178.0,170.0
nickel,primary,260400,Nickel ores and concentrates,2000,8,ALB,Albania,0,W00,World,X,Export,260400,Nickel ores and concentrates,37263.0,9100000.0,,9100000.0,kg,,37263.0
nickel,primary,260400,Nickel ores and concentrates,2000,8,ALB,Albania,300,GRC,Greece,X,Export,260400,Nickel ores and concentrates,37263.0,9100000.0,,9100000.0,kg,,37263.0
nickel,primary,260400,Nickel ores and concentrates,2000,36,AUS,Australia,0,W00,World,X,Export,260400,Nickel ores and concentrates,224222578.0,240550460.0,,240550460.0,kg,,224222578.0
nickel,primary,260400,Nickel ores and concentrates,2000,36,AUS,Australia,56,BEL,Belgium,X,Export,260400,Nickel ores and concentrates,5600912.0,4967030.0,,4967030.0,kg,,5600912.0
nickel,primary,260400,Nickel ores and concentrates,2000,36,AUS,Australia,124,CAN,Canada,X,Export,260400,Nickel ores and concentrates,26946791.0,28500000.0,,28500000.0,kg,,26946791.0
nickel,primary,260400,Nickel ores and concentrates,2000,36,AUS,Australia,246,FIN,Finland,X,Export,260400,Nickel ores and concentrates,191652901.0,206660680.0,,206660680.0,kg,,191652901.0
nickel,primary,260400,Nickel ores and concentrates,2000,36,AUS,Australia,528,NLD,Netherlands,X,Export,260400,Nickel ores and concentrates,21974.0,422750.0,,422750.0,kg,,21974.0
nickel,primary,260400,Nickel ores and concentrates,2000,56,BEL,Belgium,0,W00,World,X,Export,260400,Nickel ores and concentrates,59512.0,29197.0,,29197.0,kg,,59512.0
nickel,primary,260400,Nickel ores and concentrates,2000,56,BEL,Belgium,251,FRA,France,X,Export,260400,Nickel ores and concentrates,9435.0,8176.0,,8176.0,kg,,9435.0
nickel,primary,260400,Nickel ores and concentrates,2000,56,BEL,Belgium,300,GRC,Greece,X,Export,260400,Nickel ores and concentrates,50077.0,21021.0,,21021.0,kg,,50077.0
nickel,primary,260400,Nickel ores and concentrates,2000,72,BWA,Botswana,0,W00,World,X,Export,260400,Nickel ores and concentrates,137671.0,1457600.0,,1457600.0,kg,,137671.0
nickel,primary,260400,Nickel ores and concentrates,2000,72,BWA,Botswana,710,ZAF,South Africa,X,Export,260400,Nickel ores and concentrates,137671.0,1457600.0,,1457600.0,kg,,137671.0
nickel,primary,260400,Nickel ores and concentrates,2000,76,BRA,Brazil,0,W00,World,X,Export,260400,Nickel ores and concentrates,729.0,400.0,0.0,1.0,kg,,729.0
